1281723	und
1072008	die
1064161	der
621293	in
519946	zu
493442	den
431293	das
404727	sich
400966	sie
396336	er
386799	nicht
371188	von
348669	mit
329821	ich
319909	ist
309817	dem
306458	ein
297158	auf
287563	es
268797	des
242060	so
232915	als
221783	an
221022	war
201684	eine
190790	wie
185939	daß
170900	im
167258	auch
159527	aber
150731	Sie
146325	aus
144249	Die
138744	noch
133451	nach
132553	nur
124731	ihm
121783	mir
118591	hatte
116356	Ich
114908	sein
114581	man
111108	einen
109566	durch
109464	um
109086	ihr
106825	ihn
104194	für
101818	Der
101521	mich
99556	wenn
97956	oder
96126	hat
95104	Und
93824	einem
93820	wir
92957	was
92448	einer
90316	du
89644	Er
89368	sind
89244	bei
87497	vor
81591	werden
81244	wird
79302	seine
78404	s
78160	da
77465	Das
76788	doch
76085	haben
73950	über
72602	zum
70829	Es
70217	wieder
68158	uns
67091	selbst
65899	mehr
65761	denn
63080	diese
62945	dass
62067	am
62035	sagte
60615	schon
58821	ihre
58636	dann
57829	kann
57000	dieser
56311	seiner
55722	zur
54556	habe
53598	unter
53433	Aber
51899	sehr
51083	welche
50675	wurde
50594	hier
50469	ganz
49717	waren
49370	alle
48358	nun
48155	immer
47494	bis
46551	jetzt
45827	seinen
45703	Zeit
43784	nichts
43259	eines
43035	sei
42448	gegen
42418	wo
42210	In
41734	ohne
41733	etwas
41620	vom
41619	wohl
41516	mein
41511	ja
38831	Herr
38244	So
37988	alles
37779	seinem
37719	Frau
37193	ihrer
36929	Du
36750	meine
36319	will
36068	sah
35386	Da
34638	Was
33938	ihnen
33785	Mann
33598	ihren
33418	konnte
33220	sondern
32728	keine
32333	Wie
32011	Hand
31590	Augen
31516	einmal
31334	dir
31330	Ihr
31249	kam
31191	dich
30760	Ein
29958	viel
29721	diesem
29512	weil
28764	Wenn
28431	ob
28414	diesen
28404	gar
28136	bin
27766	ging
27645	Menschen
27592	kein
27418	Leben
27279	dieses
27264	wollte
27141	können
26918	Als
26614	machen
26214	muß
26155	hatten
25992	also
25621	zwei
25078	gut
25073	soll
24317	zwischen
24180	lassen
24152	Welt
24063	Wir
23979	sagen
22880	allen
22789	ihrem
22788	gewesen
22739	Mutter
22596	dort
22524	sehen
22367	stand
22198	hätte
22187	andern
21971	Vater
21871	Man
21828	würde
21466	lange
21390	ab
21271	andere
21267	erst
20969	fuer
20963	Gott
20914	Ja
20883	ins
20852	gleich
20845	wäre
20647	hin
20360	allein
20243	dessen
20232	rief
20229	beiden
19951	werde
19943	kommen
19922	eben
19917	Nun
19866	S
19761	weiter	.
19754	bald
19355	damit
19330	Stadt
19325	sollte
19237	dies
19202	worden
19199	wenig
19171	ganze
18900	meiner
18783	deren
18779	wurden
18726	großen
18590	denen
18469	sprach
18460	nie
18429	Mit
18414	Art
18339	recht
18115	oft
18096	wollen
18032	gab
17853	kommt
17520	weit	.
17450	Nacht
17434	Von
17294	während
17231	meinen
17227	anderen
17073	Wort
17066	ersten
17055	kleinen
17030	alten
17013	fort
16969	Doch
16737	vielleicht
16692	seines
16673	zurück
16658	fast
16629	Tage
16628	weiß
16610	geht
16597	Im
16518	fragte
16504	Tag
16487	Kopf
16405	Auch
16295	a
16281	ließ
16270	mußte
16210	O
16115	euch
16060	gehen
15981	Dann
15944	darauf
