557	an	sich	selbst
433	hin	und	her
428	in	der	Welt
408	in	der	Tat
402	der	reinen	Vernunft
348	in	der	Hand
339	daß	er	sich
337	Es	war	ein
315	und	in	der
314	in	der	Nähe
293	in	die	Höhe
272	sich	in	der
270	ganz	und	gar
261	daß	sie	sich
251	so	ist	es
249	in	der	Stadt
234	in	Ansehung	der
224	Ich	weiß	nicht
212	daß	ich	mich
212	Es	ist	ein
209	in	die	Augen
207	sich	auf	die
205	mit	der	Hand
202	nach	und	nach
202	Für	sich	sein
200	in	der	Luft
199	in	der	Nacht
197	und	für	sich
197	und	es	ist
195	in	der	Mitte
189	in	der	Zeit
187	sich	in	den
187	er	sich	in
181	sie	in	der
179	zu	sein	und
177	vor	sich	hin
175	und	in	den
173	an	und	für
169	auf	und	ab
168	sich	auf	den
168	daß	er	nicht
165	in	die	Hand
164	ist	es	nicht
164	es	in	der
164	er	in	der
162	als	ob	sie
161	sich	in	die
160	und	es	war
159	nicht	in	der
159	daß	sie	nicht
158	so	gut	wie
158	nichts	anderes	als
158	mit	sich	selbst
157	auf	den	Tisch
157	als	ob	er
156	er	sich	nicht
156	die	in	der
156	den	ganzen	Tag
156	auf	der	Erde
156	auf	dem	Wege
155	wenn	er	sich
155	in	der	Erscheinung
154	in	die	Luft
154	Es	war	eine
152	so	daß	er
151	hie	und	da
150	auf	diese	Weise
150	auf	der	Straße
149	in	sich	selbst
147	nur	in	der
147	daß	er	die
146	sich	mit	dem
146	auf	den	Boden
144	daß	ich	nicht
144	Da	sprach	der
143	fuhr	er	fort
143	er	sich	mit
138	von	dem	was
138	und	wenn	ich
138	er	sich	auf
138	Zeit	zu	Zeit
136	und	wenn	er
136	so	daß	sie
136	in	diesem	Augenblick
135	bis	in	die
134	und	von	der
133	und	wenn	sie
133	mehr	und	mehr
133	für	sich	selbst
131	zum	ersten	Male
131	daß	sie	die
131	daß	es	nicht
131	Gott	sei	Dank
130	daß	er	in
130	Dinge	an	sich
129	und	mit	dem
129	und	als	er
129	gar	nicht	mehr
128	sich	mit	der
127	und	in	dem
127	in	den	Mund
126	nicht	mehr	zu
126	ist	in	der
126	ich	in	der
125	und	in	die
125	sie	sich	nicht
125	sie	sich	in
125	ist	so	ist
125	in	den	Augen
125	ich	mich	nicht
125	hatte	er	sich
124	die	Künstlerin	Fröhlich
123	sich	an	den
123	ich	weiß	nicht
123	Es	ist	eine
121	so	daß	ich
121	auf	dem	Rücken
120	und	mit	einem
120	sagte	er	und
120	kann	ich	nicht
120	in	die	Hände
120	aber	es	war
119	zu	sich	selbst
119	zu	machen	und
119	von	allen	Seiten
119	mehr	oder	weniger
119	in	Beziehung	auf
119	eine	Art	von
119	die	sich	in
118	sich	über	die
118	mit	den	Augen
