Look, there is a park.	Gledaj, tamo je park.
Let us go into the park.	Hajde da idemo u park.
Let us read.	Hajde da čitamo.
Let us speak.	Hajde da pričamo.
Let us write.	Hajde da pišemo.
I have a house.	Imam kuću.
I see a book.	Vidim knjigu.
Let us sit down.	Hajde da sednemo.
Yes, let us!	Da, hajdemo.
The park is beautiful.	Park je lep.
The street is short, and the hat is blue.	Ulica je kratka, i šešir je plav.
There is a seat in the park.	Eno mesta (za sedenje) u parku.
There are two seats.	Ima dva mesta.
pencils, mornings, houses	olovke, jutra, kuće
books, streets, parks, nights	knjige, ulice, parkovi, noći
How are You?	Kako ste?
How do You do?	Šta radite?
Here is a pencil.	Evo je olovka.
There is a book.	Eno je knjiga.
Here is a big house.	Evo je velika kuća.
There is a little street.	Eno je mala ulica.
My house is tall.	Moja kuća je visoka.
Your house is green.	Tvoja kuća je zelena.
Is mu house good?	Jel moja kuća dobra.
No your house is bad.	Ne tvoja kuća je loša.
This street is short.	Ova ulica je kratka.
That lady is fat.	Ona gospođa je debela.
