Here are Mr. and Mrs. Green. They are my friends.	Evo ih gospodin i gospođa Green. Oni su moji prijatelji.
They have a very nice dog.	Oni imaju veoma lepog psa.
Good morning, Miss Brown, How are you?	Dobro jutro gospođice Brown, kako ste?
Very well, thank you. And how are you?	Vrlo dobro, hvala. A kako ste vi?
Have you a very nice dog?	Imate li vi veoma lepog psa?
Yes, we have a very nice dog.	Da, mi imamo veoma lepog psa.
Have you a cat also?	Imate li mačku takođe?
Yes, we have a cat also.	Da, mi imamo mačku takođe.
I like cats and dogs.	Ja volim mačke i pse.
Mr. and Mrs. Green live in this street.	Gospodin i gospođa Green žive u ovoj ulici.
They have a nice house.	Oni imaju lepu kuću.
Have you a nice house?	Imate li vi lepu kuću?
Yes, we have a nice house.	Da, mi imamo lepu kuću.
They have a beautiful garden also.	Oni imaju prelepu baštu takođe.
Have you a beautiful garden also?	Imate li vi predivnu baštu takođe?
Yes, we have a beautiful garden also.	Da, mi imamo predivnu baštu takođe.
They have five rooms.	Oni imaju pet soba.
Have you five rooms?	Imate li vi pet soba?
Yes, we have five rooms.	Da, mi imamo pet soba.
No, we have six rooms.	Ne, mi imamo šest soba.
There is a little room also.	Ima i mala soba takođe.
I have a nice dog.	Ja imam lepog psa.
We have a fat cat.	Mi imamo debelu mačku.
You have a rich friend.	Vi imate bogatog prijatelja.
They have a green house.	Oni imaju zelenu kuću.
He has a red chair.	On ima crvenu stolicu.
She has a big bench.	Ona ima veliku klupu.
I have a big garden.	Ja imam veliku baštu.
We have a black book.	Mi imamo crnu knjigu.
You have a beautiful park.	Vi imate predivan park.
They have a bad dog.	Oni imaju lošeg psa.
She has a little paper.	Ona ima mali papir.
She has a blue hat also.	Ona ima plavi šešir takođe.
