Good morning, Miss Brown. How are you?	Dobro jutro gospođice Braun. Kako ste?
Look! Here is a house.	Gledajte! Evo je jedna kuća.
Yes, I see. And there is a street.	Da, vidim. A eno je jedna ulica.
Is your house in this street?	Je li vaša kuća u ovoj ulici?
No, my house is in that street.	Ne, moja kuća je u onoj ulici.
I am tall.	Ja sam visok.
You are fat.	Ti si debeo.
I am rich. You are poor.	Ja sam bogat. Ti si siromašan.
Am I good? Yes, you are good.	Jesam li dobar? Da, ti si dobar.
No, you are not good. You are bad.	Ne, ti nisi dobar. Ti si loš.
I am glad.	Drago mi je.
I am sorry.	Žao mi je.
I write English.	Ja pišem egleski.
I read English and French.	Ja čitam engleski i francuski.
I have an English paper.	Ja imam engleske novine.
You have a big hat.	Ti imaš veliki šešir.
He has a hard pencil.	On ima tvrdu olovku.
She has a green paper.	Ona ima zelenu hartiju.
